Metric,Value
Initial Capital,100000.0
Final Portfolio Value,137970.002275626
Net Profit,37970.002275626
Total Return,0.3797000227562599
Annualized Return,0.05541039618379595
Annualized Volatility,0.07235847411179434
Sharpe Ratio,0.7811141003397135
Sortino Ratio,1.3791455652813014
Maximum Drawdown,-0.05516009679391798
Calmar Ratio,1.004537689460791
Number of Trading Days,1504.0
Number of Trades,79.0
Winning Trades,47.0
Losing Trades,32.0
Breakeven Trades,0.0
Trade Win Rate,0.5949367088607594
Average Net Trade Return,0.004269962703903666
Median Net Trade Return,0.005213607831541622
Profit Factor,1.7833058144392948
Trade Frequency,0.052526595744680854
