trade_id,trade_date,action_open,action_close,Open,Close,entry_price,exit_price,previous_open,previous_close,previous_day_return,opening_gap,gross_trade_return,return_after_slippage,transaction_cost_return,net_trade_return,trade_outcome,portfolio_value,cumulative_return
1,2020-08-04,BUY_OPEN,SELL_CLOSE,155.0605010986328,156.94149780273438,155.09926622390748,156.9022624282837,159.02549743652344,155.59449768066406,-0.021575154998203283,-0.00343197600166556,0.012130727624213522,0.011624788745121073,0.0005,0.011124788745121073,WIN,101112.47887451212,0.011124788745121128
2,2020-09-04,BUY_OPEN,SELL_CLOSE,165.89999389648438,164.7310028076172,165.94146889495852,164.6898200569153,174.25,168.39999389648438,-0.03357248839894189,-0.014845606238779063,-0.0070463600474668375,-0.007542712779260219,0.0005,-0.00804271277926022,LOSS,100299.2602485254,0.0029926024852540145
3,2020-09-17,BUY_OPEN,SELL_CLOSE,150.46249389648438,150.43649291992188,150.5001095199585,150.3988837966919,158.99949645996094,153.90499877929688,-0.032040967387258035,-0.022367726260464904,-0.00017280702910849044,-0.0006725956784314757,0.0005,-0.0011725956784314757,LOSS,100181.6497694081,0.0018164976940810984
4,2020-09-21,BUY_OPEN,SELL_CLOSE,145.3249969482422,148.02349853515625,145.36132819747925,147.98649266052246,151.58700561523438,147.74549865722656,-0.02534192784148348,-0.01638291339487774,0.018568736580638845,0.018059579501618295,0.0005,0.017559579501618294,WIN,101940.7974131373,0.019407974131373074
5,2020-09-24,BUY_OPEN,SELL_CLOSE,148.88949584960938,150.989501953125,148.92671822357178,150.95175457763673,156.02149963378906,149.9929962158203,-0.03863892753318454,-0.007357012620930248,0.014104461107429689,0.013597535608250721,0.0005,0.013097535608250721,WIN,103275.97063718937,0.03275970637189363
6,2020-10-15,BUY_OPEN,SELL_CLOSE,164.60049438476562,166.9324951171875,164.64164450836182,166.8907619934082,172.35000610351562,168.1855010986328,-0.02416306850828631,-0.021315789354308,0.014167641118808971,0.013660684037519744,0.0005,0.013160684037519743,WIN,104635.15305541358,0.04635153055413577
7,2020-11-10,BUY_OPEN,SELL_CLOSE,154.75100708007812,151.75100708007812,154.78969483184815,151.7130693283081,161.55149841308594,157.18699645996094,-0.02701616509903859,-0.015497397588504214,-0.01938598046374984,-0.019876164927402074,0.0005,-0.020376164927402074,LOSS,102503.0899195525,0.025030899195525036
8,2020-12-10,BUY_OPEN,SELL_CLOSE,154.44949340820312,155.07449340820312,154.4881057815552,155.03572478485108,158.39450073242188,155.2100067138672,-0.02010482689632198,-0.004899898671263392,0.004046630301001608,0.003544732460311284,0.0005,0.003044732460311284,WIN,102815.18440471278,0.028151844047127783
9,2021-01-05,BUY_OPEN,SELL_CLOSE,158.30050659179688,160.92550659179688,158.34008171844485,160.88527521514894,163.5,159.3314971923828,-0.025495430016007292,-0.0064707268729238265,0.016582385341121997,0.016074221189489313,0.0005,0.015574221189489312,WIN,104416.45082826991,0.04416450828269913
10,2021-02-22,BUY_OPEN,SELL_CLOSE,160.406494140625,159.03700256347656,160.44659576416018,158.9972433128357,166.4114990234375,162.4949951171875,-0.023535055745747435,-0.012852709556108621,-0.008537631749172436,-0.009033239031477347,0.0005,-0.009533239031477347,LOSS,103421.02384370552,0.034210238437055285
11,2021-03-25,BUY_OPEN,SELL_CLOSE,153.64950561523438,152.31300354003906,153.6879179916382,152.27492528915406,157.552001953125,154.35350036621094,-0.020301243698989557,-0.004560925079808986,-0.00869838187792249,-0.009193908805251727,0.0005,-0.009693908805251727,LOSS,102418.46987001887,0.0241846987001888
12,2021-05-04,BUY_OPEN,SELL_CLOSE,167.8094940185547,165.593505859375,167.85144639205933,165.55210748291017,174.2364959716797,169.32449340820312,-0.02819158257334875,-0.008947313877361585,-0.01320538013739958,-0.013698654128832866,0.0005,-0.014198654128832866,LOSS,100964.2654399302,0.009642654399302009
13,2021-05-06,BUY_OPEN,SELL_CLOSE,163.5,165.31849670410156,163.540875,165.27716707992553,166.9429931640625,163.52699279785156,-0.02046207691300872,-0.00016506631345525324,0.011122304000621197,0.01061686920731919,0.0005,0.01011686920731919,WIN,101985.70770799904,0.019857077079990404
14,2021-05-11,BUY_OPEN,SELL_CLOSE,156.81399536132812,161.19549560546875,156.85319886016848,161.1551967315674,164.11599731445312,159.52450561523438,-0.02797711237388556,-0.01699118416604828,0.027940747469923588,0.027426905556666936,0.0005,0.026926905556666936,WIN,104731.86722758216,0.04731867227582165
15,2021-10-25,BUY_OPEN,SELL_CLOSE,166.75,166.01849365234375,166.79168750000002,165.97698902893066,171.0500030517578,166.77749633789062,-0.024978115391055433,-0.00016486839348472948,-0.004386844663605727,-0.004884526820734814,0.0005,-0.005384526820734814,LOSS,104167.93567950961,0.041679356795096156
16,2021-12-17,BUY_OPEN,SELL_CLOSE,167.7104949951172,170.0175018310547,167.75242261886598,169.97499745559693,173.36849975585938,168.87100219726562,-0.025941838136265827,-0.0068721520394176006,0.013755888300279961,0.013249137043944037,0.0005,0.012749137043944037,WIN,105495.98696707243,0.054959869670724304
