Metric,Baseline Test,MA Agent Test,Difference,Better
Initial Capital,100000.0,100000.0,0.0,-
Final Portfolio Value,101536.11622789604,107757.78773380187,6221.671505905833,MA
Total Return,0.01536116227896045,0.07757787733801869,0.062216715059058236,MA
Annualized Return,0.01280172044745198,0.06433016482165455,0.051528444374202564,MA
Annualized Volatility,0.034288118999423675,0.05695989854550398,0.022671779546080302,Baseline
Sharpe Ratio,0.38811399158837817,1.1227662374248177,0.7346522458364395,MA
Maximum Drawdown,-0.026006966729175907,-0.020110719153791035,0.005896247575384872,MA
Sortino Ratio,0.08241220427637853,0.4731640153889938,0.39075181111261525,MA
Calmar Ratio,0.49224196657622415,3.198799820618438,2.7065578540422135,MA
Number of Trades,9.0,16.0,7.0,-
Winning Trades,5.0,9.0,4.0,-
Losing Trades,4.0,7.0,3.0,-
Win Rate,0.5555555555555556,0.5625,0.00694444444444442,MA
