Feature,Classifier Importance,Return Model Importance,Combined Importance
ma_close_return_lag_3,0.05326126485823668,2.9341825204772572e-06,0.05326419904075715
ma_mean_range_10,0.04905047679441811,2.205199620591375e-06,0.0490526819940387
ma_close_return_lag_5,0.04588854834898574,9.850512508311338e-07,0.04588953340023657
ma_previous_close_location,0.03967600870342012,1.8176028568686272e-06,0.03967782630627699
ma_mean_range_3,0.03427482789134632,3.5416270889504867e-06,0.03427836951843527
ma_momentum_20,0.029154777282257238,2.492836851819601e-06,0.02915727011910906
ma_mean_range_5,0.028301898167500106,2.2329925112317123e-06,0.028304131160011337
ma_close_return_lag_2,0.02791086640639654,1.0999812342870035e-06,0.027911966387630827
ma_previous_body_to_range,0.02625531974772194,2.122956362252273e-06,0.026257442704084193
ma_open_vs_previous_open,0.025957110644884117,6.7468942766230644e-06,0.02596385753916074
ma_volatility_20,0.02406331881089131,1.5903273900441716e-06,0.024064909138281354
ma_close_return_lag_1,0.022103321826378253,2.656814474828376e-06,0.02210597864085308
ma_previous_lower_shadow,0.020082762316898393,1.667292314912048e-06,0.020084429609213306
ma_momentum_3,0.01982529588705497,1.7230117571024228e-06,0.01982701889881207
ma_volatility_5,0.017410010476581493,5.981452491490223e-06,0.017415991929072984
ma_opening_gap,0.017214314831020816,2.9042168156429003e-06,0.01721721904783646
ma_volatility_10,0.015471237179806363,3.063195839313865e-06,0.015474300375645678
ma_previous_range_ratio,0.0142233846232666,3.193266547292669e-06,0.014226577889813893
ma_momentum_10,0.013975058093937075,2.6665366462054266e-06,0.01397772463058328
ma_previous_day_return,0.01288577286653413,1.5561628240888168e-06,0.012887329029358218
ma_gap_x_previous_return,0.011751008773796756,1.977720717041755e-06,0.011752986494513798
ma_mean_return_10,0.009042508103285218,2.413192828568995e-06,0.009044921296113787
ma_absolute_previous_return,0.008836318906912355,1.726549568365328e-06,0.00883804545648072
ma_mean_return_3,0.0077583556333502,1.5494900136392139e-06,0.007759905123363839
ma_momentum_5,0.006311637658501124,1.6569542267010832e-06,0.006313294612727825
ma_previous_upper_shadow,0.0060010505477572805,3.7665143821530624e-06,0.006004817062139433
ma_mean_return_5,0.005436160631759534,1.78969239227283e-06,0.005437950324151807
ma_absolute_opening_gap,0.003706655715555207,2.4383572490620177e-06,0.003709094072804269
ma_reversal_candidate,0.0007056668821374679,4.676765330938898e-06,0.0007103436474684068
ma_previous_body_ratio,0.0,1.8680623850216525e-06,1.8680623850216525e-06
