date,decision_id,market_signal,ma_probability,ma_expected_return,ma_confidence,trade_executed,net_return,reflection_category,evidence_summary,decision_summary,outcome_summary,identified_strengths,identified_weaknesses,diagnostic_labels,explainability_score
2025-05-16,decision_6a942879aaf64d5482695692eb5739a2,NO_TRADE,0.512251093871649,-0.0011916109267262702,0.49625182525886824,False,0.0,NO_TRADE_REVIEW,"MA: signal=signal=NO_TRADE, profit_probability=0.512251093871649, confidence=0.49625182525886824",EX did not execute a trade under CONFIG_1_MA_EX_RF. The resolved analytical decision was NO_TRADE using MA_DIRECT. 0 of 1 active analytical agents voted BUY; 1 BUY vote(s) were required. Consensus category was SINGLE_AGENT_NO_TRADE. Reason: MA direct NO_TRADE signal.,No trade was executed. The counterfactual net Open-to-Close return was -0.708825%.,The NO_TRADE decision avoided a non-profitable market outcome. | The resolved NO_TRADE decision avoided a non-profitable Open-to-Close outcome.,,CONFIG_1_MA_EX_RF | NO_TRADE | SINGLE_AGENT_DECISION | UNANIMOUS_NO_TRADE | CONSENSUS_SINGLE_AGENT_NO_TRADE | CORRECT_TRADE_REJECTION,0.9244377737888302
2025-05-19,decision_0c04a37c416e4cc0a5e76bc096257dd3,NO_TRADE,0.6287277232998811,-0.0012165346896111041,0.5785284296570499,False,0.0,NO_TRADE_REVIEW,"MA: signal=signal=NO_TRADE, profit_probability=0.6287277232998811, confidence=0.5785284296570499",EX did not execute a trade under CONFIG_1_MA_EX_RF. The resolved analytical decision was NO_TRADE using MA_DIRECT. 0 of 1 active analytical agents voted BUY; 1 BUY vote(s) were required. Consensus category was SINGLE_AGENT_NO_TRADE. Reason: MA direct NO_TRADE signal.,No trade was executed. The counterfactual net Open-to-Close return was 2.135448%.,,The NO_TRADE decision missed a profitable market outcome. | The resolved NO_TRADE decision missed a profitable Open-to-Close opportunity.,CONFIG_1_MA_EX_RF | NO_TRADE | SINGLE_AGENT_DECISION | UNANIMOUS_NO_TRADE | CONSENSUS_SINGLE_AGENT_NO_TRADE | MISSED_PROFITABLE_OPPORTUNITY,0.9132207355514425
2025-05-20,decision_7b67499408de4eb9adb6e2dfe549aafd,NO_TRADE,0.704812286110711,-0.0013965809478353054,0.6371694508708479,False,0.0,NO_TRADE_REVIEW,"MA: signal=signal=NO_TRADE, profit_probability=0.704812286110711, confidence=0.6371694508708479",EX did not execute a trade under CONFIG_1_MA_EX_RF. The resolved analytical decision was NO_TRADE using MA_DIRECT. 0 of 1 active analytical agents voted BUY; 1 BUY vote(s) were required. Consensus category was SINGLE_AGENT_NO_TRADE. Reason: MA direct NO_TRADE signal.,No trade was executed. The counterfactual net Open-to-Close return was -0.373514%.,The NO_TRADE decision avoided a non-profitable market outcome. | The resolved NO_TRADE decision avoided a non-profitable Open-to-Close outcome.,,CONFIG_1_MA_EX_RF | NO_TRADE | SINGLE_AGENT_DECISION | UNANIMOUS_NO_TRADE | CONSENSUS_SINGLE_AGENT_NO_TRADE | CORRECT_TRADE_REJECTION,0.9455754176306271
2025-05-21,decision_adc7a316af1c4580ba19ef2a07319561,NO_TRADE,0.4269886474116686,-0.0015190713094387135,0.5485802146112805,False,0.0,NO_TRADE_REVIEW,"MA: signal=signal=NO_TRADE, profit_probability=0.4269886474116686, confidence=0.5485802146112805",EX did not execute a trade under CONFIG_1_MA_EX_RF. The resolved analytical decision was NO_TRADE using MA_DIRECT. 0 of 1 active analytical agents voted BUY; 1 BUY vote(s) were required. Consensus category was SINGLE_AGENT_NO_TRADE. Reason: MA direct NO_TRADE signal.,No trade was executed. The counterfactual net Open-to-Close return was -0.342912%.,The NO_TRADE decision avoided a non-profitable market outcome. | The resolved NO_TRADE decision avoided a non-profitable Open-to-Close outcome.,,CONFIG_1_MA_EX_RF | NO_TRADE | SINGLE_AGENT_DECISION | UNANIMOUS_NO_TRADE | CONSENSUS_SINGLE_AGENT_NO_TRADE | CORRECT_TRADE_REJECTION,0.9322870321916921
2025-05-22,decision_ece22f6cc0a848a28285e7f54f28e98d,NO_TRADE,0.6112810361723111,-0.001338109616615614,0.5699473576639361,False,0.0,NO_TRADE_REVIEW,"MA: signal=signal=NO_TRADE, profit_probability=0.6112810361723111, confidence=0.5699473576639361",EX did not execute a trade under CONFIG_1_MA_EX_RF. The resolved analytical decision was NO_TRADE using MA_DIRECT. 0 of 1 active analytical agents voted BUY; 1 BUY vote(s) were required. Consensus category was SINGLE_AGENT_NO_TRADE. Reason: MA direct NO_TRADE signal.,No trade was executed. The counterfactual net Open-to-Close return was 0.753693%.,,The NO_TRADE decision missed a profitable market outcome. | The resolved NO_TRADE decision missed a profitable Open-to-Close opportunity.,CONFIG_1_MA_EX_RF | NO_TRADE | SINGLE_AGENT_DECISION | UNANIMOUS_NO_TRADE | CONSENSUS_SINGLE_AGENT_NO_TRADE | MISSED_PROFITABLE_OPPORTUNITY,0.9145078963504095
2025-05-23,decision_e249f0c17afd4913816ed67719eb9fda,NO_TRADE,0.5310506736806072,-0.0016539935474016206,0.5232551152099428,False,0.0,NO_TRADE_REVIEW,"MA: signal=signal=NO_TRADE, profit_probability=0.5310506736806072, confidence=0.5232551152099428",EX did not execute a trade under CONFIG_1_MA_EX_RF. The resolved analytical decision was NO_TRADE using MA_DIRECT. 0 of 1 active analytical agents voted BUY; 1 BUY vote(s) were required. Consensus category was SINGLE_AGENT_NO_TRADE. Reason: MA direct NO_TRADE signal.,No trade was executed. The counterfactual net Open-to-Close return was 0.950272%.,,The NO_TRADE decision missed a profitable market outcome. | The resolved NO_TRADE decision missed a profitable Open-to-Close opportunity.,CONFIG_1_MA_EX_RF | NO_TRADE | SINGLE_AGENT_DECISION | UNANIMOUS_NO_TRADE | CONSENSUS_SINGLE_AGENT_NO_TRADE | MISSED_PROFITABLE_OPPORTUNITY,0.9215117327185085
2025-05-27,decision_03315f30589547399acb96d9711d4fa1,NO_TRADE,0.6877287645987203,-0.0015728657789300484,0.630496009108693,False,0.0,NO_TRADE_REVIEW,"MA: signal=signal=NO_TRADE, profit_probability=0.6877287645987203, confidence=0.630496009108693",EX did not execute a trade under CONFIG_1_MA_EX_RF. The resolved analytical decision was NO_TRADE using MA_DIRECT. 0 of 1 active analytical agents voted BUY; 1 BUY vote(s) were required. Consensus category was SINGLE_AGENT_NO_TRADE. Reason: MA direct NO_TRADE signal.,No trade was executed. The counterfactual net Open-to-Close return was 1.342005%.,,The NO_TRADE decision missed a profitable market outcome. | The resolved NO_TRADE decision missed a profitable Open-to-Close opportunity.,CONFIG_1_MA_EX_RF | NO_TRADE | SINGLE_AGENT_DECISION | UNANIMOUS_NO_TRADE | CONSENSUS_SINGLE_AGENT_NO_TRADE | MISSED_PROFITABLE_OPPORTUNITY,0.905425598633696
2025-05-28,decision_729151cb78194cb5a2c2f339d66bf164,NO_TRADE,0.4252642854115059,-0.0016708454315036176,0.5543401293061889,False,0.0,NO_TRADE_REVIEW,"MA: signal=signal=NO_TRADE, profit_probability=0.4252642854115059, confidence=0.5543401293061889",EX did not execute a trade under CONFIG_1_MA_EX_RF. The resolved analytical decision was NO_TRADE using MA_DIRECT. 0 of 1 active analytical agents voted BUY; 1 BUY vote(s) were required. Consensus category was SINGLE_AGENT_NO_TRADE. Reason: MA direct NO_TRADE signal.,No trade was executed. The counterfactual net Open-to-Close return was -0.682445%.,The NO_TRADE decision avoided a non-profitable market outcome. | The resolved NO_TRADE decision avoided a non-profitable Open-to-Close outcome.,,CONFIG_1_MA_EX_RF | NO_TRADE | SINGLE_AGENT_DECISION | UNANIMOUS_NO_TRADE | CONSENSUS_SINGLE_AGENT_NO_TRADE | CORRECT_TRADE_REJECTION,0.9331510193959284
2025-05-29,decision_ea31eaa1b463453a890c9cdd15c6b692,NO_TRADE,0.5977423173445218,-0.001371756744849709,0.5614771772396058,False,0.0,NO_TRADE_REVIEW,"MA: signal=signal=NO_TRADE, profit_probability=0.5977423173445218, confidence=0.5614771772396058",EX did not execute a trade under CONFIG_1_MA_EX_RF. The resolved analytical decision was NO_TRADE using MA_DIRECT. 0 of 1 active analytical agents voted BUY; 1 BUY vote(s) were required. Consensus category was SINGLE_AGENT_NO_TRADE. Reason: MA direct NO_TRADE signal.,No trade was executed. The counterfactual net Open-to-Close return was -1.219459%.,The NO_TRADE decision avoided a non-profitable market outcome. | The resolved NO_TRADE decision avoided a non-profitable Open-to-Close outcome.,,CONFIG_1_MA_EX_RF | NO_TRADE | SINGLE_AGENT_DECISION | UNANIMOUS_NO_TRADE | CONSENSUS_SINGLE_AGENT_NO_TRADE | CORRECT_TRADE_REJECTION,0.9342215765859408
2025-05-30,decision_62fb30aabc0a4e95aa2f034494eb01f6,NO_TRADE,0.6193225710957363,-0.0016111802671456672,0.5837610967932618,False,0.0,NO_TRADE_REVIEW,"MA: signal=signal=NO_TRADE, profit_probability=0.6193225710957363, confidence=0.5837610967932618",EX did not execute a trade under CONFIG_1_MA_EX_RF. The resolved analytical decision was NO_TRADE using MA_DIRECT. 0 of 1 active analytical agents voted BUY; 1 BUY vote(s) were required. Consensus category was SINGLE_AGENT_NO_TRADE. Reason: MA direct NO_TRADE signal.,No trade was executed. The counterfactual net Open-to-Close return was -0.017038%.,The NO_TRADE decision avoided a non-profitable market outcome. | The resolved NO_TRADE decision avoided a non-profitable Open-to-Close outcome.,,CONFIG_1_MA_EX_RF | NO_TRADE | SINGLE_AGENT_DECISION | UNANIMOUS_NO_TRADE | CONSENSUS_SINGLE_AGENT_NO_TRADE | CORRECT_TRADE_REJECTION,0.9375641645189893
