Metric,Baseline Test,SM Agent Test,Difference
Initial Capital,100000.0,100000.0,0.0
Final Portfolio Value,101536.11622789604,108031.42619505257,6495.309967156529
Total Return,0.01536116227896045,0.08031426195052571,0.06495309967156526
Annualized Return,0.01280172044745198,0.06658496067367659,0.053783240226224605
Annualized Volatility,0.034288118999423675,0.06441598092966497,0.030127861930241293
Sharpe Ratio,0.38811399158837817,1.0328141028544962,0.6447001112661179
Maximum Drawdown,-0.026006966729175907,-0.03590953664144747,-0.009902569912271564
Sortino Ratio,0.08241220427637853,0.3313637479351576,0.24895154365877908
Calmar Ratio,0.49224196657622415,1.8542417112902247,1.3619997447140006
Number of Trades,9.0,17.0,8.0
Winning Trades,5.0,12.0,7.0
Losing Trades,4.0,5.0,1.0
Win Rate,0.5555555555555556,0.7058823529411765,0.15032679738562094
