Feature,Classifier Importance,Return Model Importance,Combined Importance
sm_sentiment_dispersion_3,0.03261331291136451,5.176491114490141e-06,0.032618489402479
sm_close_return_lag_2,0.018511582515758462,9.884735339400987e-06,0.018521467251097865
sm_sentiment_dispersion_10,0.013029426265285294,1.1757427409841991e-05,0.013041183692695135
sm_momentum_20,0.01173583513319314,1.5288010561275043e-05,0.011751123143754415
sm_close_return_lag_3,0.011329396769164567,8.46142403276416e-06,0.01133785819319733
sm_sentiment_mean_10,0.010694750284579113,1.0485168480819969e-05,0.010705235453059934
sm_sentiment_x_momentum_5,0.01023132908651726,2.0695486705720747e-05,0.01025202457322298
sm_momentum_3,0.009903660245940405,6.530117974286676e-06,0.009910190363914691
sm_sentiment_mean_5,0.00862464306795221,3.6753064700957937e-06,0.008628318374422305
sm_sentiment_std_lag_3,0.00862018088240608,4.174486418033133e-06,0.008624355368824114
sm_sentiment_strength,0.008178676933024088,4.364906224506391e-06,0.008183041839248595
sm_volatility_10,0.007790245090729608,3.292953693495965e-06,0.007793538044423104
sm_sentiment_mean_lag_3,0.007751140355489195,1.64538169366285e-05,0.007767594172425823
sm_previous_upper_shadow,0.007732851923309169,5.061997854996607e-06,0.007737913921164166
sm_mean_range_5,0.00757525647073456,7.126682220951079e-06,0.007582383152955511
sm_sentiment_dispersion_5,0.007512788921750358,4.875339011267654e-06,0.007517664260761625
sm_sentiment_x_gap,0.007204537720057113,1.9890841187033875e-06,0.007206526804175817
sm_open_vs_previous_open,0.0068789717612919524,2.620261084874674e-05,0.006905174372140699
sm_previous_lower_shadow,0.006824808500123547,7.921588398146603e-06,0.006832730088521693
sm_news_mean_10,0.006539686941207867,4.917508480079137e-06,0.0065446044496879465
sm_sentiment_change_1,0.005855022880393634,2.7380468298703063e-06,0.005857760927223505
sm_sentiment_std_lag_5,0.005583052973712676,5.678455331188731e-06,0.005588731429043865
sm_news_mean_5,0.00546727221963964,6.669603327985295e-07,0.005467939179972439
sm_sentiment_change_3,0.005257073324777828,3.7420939772984197e-06,0.005260815418755126
sm_previous_close_location,0.0051477693502540835,2.815125526645249e-06,0.005150584475780729
sm_momentum_5,0.004897082773672212,5.820483134497266e-06,0.004902903256806709
sm_sentiment_consistency,0.00437864853376081,6.709751386818742e-06,0.004385358285147628
sm_news_mean_3,-0.004322242000230836,1.1699979549586679e-06,0.0043234119981857945
sm_volatility_5,0.004316814328804453,2.9784972447742242e-06,0.004319792826049227
sm_uncertainty_x_gap,0.004228797292493957,1.758143857552356e-06,0.00423055543635151
sm_previous_body_ratio,0.00406758371145024,0.0,0.00406758371145024
sm_sentiment_mean_lag_2,0.003947208749193054,5.08125684541599e-06,0.00395229000603847
sm_news_count_lag_2,0.003782976534998761,3.082185277236914e-06,0.003786058720275998
sm_previous_range_ratio,0.003254832639562044,4.431984549265774e-06,0.00325926462411131
sm_sentiment_std_lag_2,0.0029999145899812897,1.598154736833083e-06,0.0030015127447181227
sm_previous_body_to_range,0.0028771135090434274,4.1142030731265755e-06,0.0028812277121165538
sm_sentiment_x_previous_return,0.0027117045491581336,4.153137057597008e-06,0.0027158576862157304
sm_close_return_lag_5,0.0026600559166951587,3.8094178897701794e-06,0.002663865334584929
sm_previous_day_return,0.0025979116138296733,4.560219298611607e-06,0.002602471833128285
sm_mean_range_10,0.0025888589046090815,7.252423581707459e-06,0.002596111328190789
sm_volatility_20,0.0024975751952600045,5.860196345458147e-06,0.0025034353916054625
sm_sentiment_mean_lag_5,0.002328196155085316,8.396476915308706e-06,0.0023365926320006248
sm_news_count_lag_5,0.0016785018261288975,2.3883277889127293e-06,0.0016808901539178101
sm_coverage_weighted_sentiment,-0.0015560312929127074,6.953596901136811e-06,0.0015629848898138443
sm_close_return_lag_1,0.0015298736351367804,1.899942876491114e-05,0.0015488730639016915
sm_news_count_lag_3,0.001508171214379439,1.0279610811833e-06,0.0015091991754606225
sm_sentiment_mean_3,-0.0014073191235229542,8.093134402487319e-06,0.0014154122579254414
sm_momentum_10,0.001407493724918374,6.798659467310829e-06,0.0014142923843856847
sm_coverage_weighted_uncertainty,0.001305565606251602,1.9803967746749274e-06,0.0013075460030262769
previous_sentiment_std,0.0012820478502374444,9.037848654752082e-06,0.0012910856988921965
sm_opening_gap,-0.0012680718728291462,4.311095560181996e-06,0.0012723829683893282
sm_mean_range_3,0.0008729457098226367,9.959470020896638e-06,0.0008829051798435333
sm_log_news_count,-0.0006638604174797669,0.0,0.0006638604174797669
sm_reversal_candidate,0.0006006348482256452,0.0,0.0006006348482256452
previous_sentiment_mean,0.0004193009577278639,4.4459070678145615e-06,0.0004237468647956785
previous_news_count,0.00032386246061079095,1.5672757854236054e-06,0.00032542973639621453
sm_sentiment_x_volatility_5,0.00022289153864171185,3.214572818340008e-06,0.00022610611146005186
sm_positive_sentiment,0.0,0.0,0.0
sm_news_available,0.0,0.0,0.0
sm_negative_sentiment,0.0,0.0,0.0
