classifier,regressor,probability_quantile,return_quantile,probability_threshold,return_threshold,precision,recall,f1,balanced_accuracy,roc_auc,total_return,sharpe_ratio,win_rate,maximum_drawdown,number_of_trades,excess_return,excess_sharpe,classification_pass,economic_pass,objective_score
HistGradientBoostingClassifier,RandomForestRegressor,0.15,0.0,0.2769093201753765,-0.006771974110182478,0.468,0.8478260869565217,0.6030927835051546,0.5003461644973691,0.46086033416412814,-0.272180308755128,-0.9320273562920716,0.468,-0.39764612073048644,250,-0.368427978545522,-2.778922297291242,False,False,-1.6857165864566674
HistGradientBoostingClassifier,RandomForestRegressor,0.15,0.05,0.2769093201753765,-0.004807381007318475,0.4730290456431535,0.8260869565217391,0.6015831134564644,0.508584879534755,0.46086033416412814,-0.2496302168650829,-0.8391247240364972,0.4730290456431535,-0.3810044240250119,241,-0.3458778866554769,-2.6860196650356674,False,False,-1.5168213475404837
HistGradientBoostingClassifier,RandomForestRegressor,0.15,0.1,0.2769093201753765,-0.0036120599840543453,0.48695652173913045,0.8115942028985508,0.6086956521739131,0.5300009231053263,0.46086033416412814,-0.18719592440815636,-0.584072399288132,0.48695652173913045,-0.3178120173253356,230,-0.28344359419855036,-2.430967340287302,True,False,-1.0396755300695995
HistGradientBoostingClassifier,RandomForestRegressor,0.15,0.15000000000000002,0.2769093201753765,-0.0030473106647234,0.4818181818181818,0.7681159420289855,0.5921787709497207,0.5210006461737284,0.46086033416412814,-0.18974501138119226,-0.6071929196744474,0.4818181818181818,-0.3254986333333292,220,-0.28599268117158627,-2.4540878606736176,True,False,-1.0745805037272904
HistGradientBoostingClassifier,RandomForestRegressor,0.15,0.2,0.2769093201753765,-0.002630929774753457,0.4714285714285714,0.717391304347826,0.5689655172413793,0.5051924674605373,0.46086033416412814,-0.20543094482117463,-0.6824811784783557,0.4714285714285714,-0.322074870474779,210,-0.30167861461156864,-2.5293761194775257,False,False,-1.2106397652576752
HistGradientBoostingClassifier,RandomForestRegressor,0.15,0.25,0.2769093201753765,-0.002214238866954062,0.48,0.6956521739130435,0.5680473372781065,0.5166158958737191,0.46086033416412814,-0.17047352140116,-0.5349610400388474,0.48,-0.2930598476373707,200,-0.266721191191554,-2.3818559810380178,True,False,-0.9460814263856844
HistGradientBoostingClassifier,RandomForestRegressor,0.15,0.30000000000000004,0.2769093201753765,-0.0018979139170645326,0.48148148148148145,0.6594202898550725,0.5565749235474006,0.5176082340995107,0.46086033416412814,-0.140376935287724,-0.4304474014531291,0.48148148148148145,-0.3070429841629715,189,-0.236624605078118,-2.2773423424522994,True,False,-0.7350812536816487
HistGradientBoostingClassifier,RandomForestRegressor,0.15,0.35000000000000003,0.2769093201753765,-0.0016521200777500264,0.4689265536723164,0.6014492753623188,0.526984126984127,0.5013615803563187,0.46086033416412814,-0.1671291700541181,-0.5519700782943258,0.4689265536723164,-0.31542101520260024,177,-0.2633768398445121,-2.398865019293496,False,False,-0.9582329159199231
HistGradientBoostingClassifier,RandomForestRegressor,0.15,0.4,0.2769093201753765,-0.0014593281201654275,0.4819277108433735,0.5797101449275363,0.5263157894736842,0.5159697221452968,0.46086033416412814,-0.11130721530172938,-0.32547219937494654,0.4819277108433735,-0.2903137999693446,166,-0.2075548850921234,-2.1723671403741167,True,False,-0.5390514126827416
HistGradientBoostingClassifier,RandomForestRegressor,0.15,0.45,0.2769093201753765,-0.0012548995735889726,0.4838709677419355,0.5434782608695652,0.5119453924914675,0.5169620603710883,0.46086033416412814,-0.10053389140314406,-0.2876440966017544,0.4838709677419355,-0.3151506946635656,155,-0.19678156119353807,-2.1345390376009243,True,False,-0.4710205212544449
HistGradientBoostingClassifier,RandomForestRegressor,0.15,0.5,0.2769093201753765,-0.0010124620730135524,0.496551724137931,0.5217391304347826,0.508833922261484,0.5283854887842703,0.46086033416412814,-0.05272800631360974,-0.098378914093109,0.496551724137931,-0.3063886896176806,145,-0.14897567610400375,-1.9452738550922792,True,False,-0.1155223755934907
