Metric,Baseline Test,RM Agent Test,Difference
Initial Capital,100000.0,100000.0,0.0
Final Portfolio Value,101536.11622789604,101989.89494312649,453.7787152304518
Total Return,0.01536116227896045,0.019898949431264912,0.004537787152304462
Annualized Return,0.01280172044745198,0.016577278725563582,0.0037755582781116015
Annualized Volatility,0.034288118999423675,0.054911563915744366,0.02062344491632069
Sharpe Ratio,0.38811399158837817,0.32660210283418944,-0.061511888754188726
Maximum Drawdown,-0.026006966729175907,-0.046356298157375964,-0.020349331428200057
Sortino Ratio,0.08241220427637853,0.13525742482637698,0.05284522054999845
Calmar Ratio,0.49224196657622415,0.35760574904590164,-0.1346362175303225
Number of Trades,9.0,13.0,4.0
Winning Trades,5.0,6.0,1.0
Losing Trades,4.0,7.0,3.0
Win Rate,0.5555555555555556,0.46153846153846156,-0.09401709401709402
Average Trade Return,0.0017720127937102892,0.0016532778198804711,-0.00011873497382981811
