classifier,probability_threshold,fold,fold_buy_count,fold_buy_rate,fold_return,fold_sharpe
ExtraTreesBUY,0.32,1,0,0.0,0.0,0.0
ExtraTreesBUY,0.32,2,2,0.013605442176870748,0.0195107546925819,1.6665141574748117
ExtraTreesBUY,0.32,3,5,0.034013605442176874,-0.010097399237880111,-0.34999017101758634
ExtraTreesBUY,0.32,4,30,0.20134228187919462,0.07886802027122575,0.6513499341800256
ExtraTreesBUY,0.34,1,0,0.0,0.0,0.0
ExtraTreesBUY,0.34,2,1,0.006802721088435374,0.014478224854217459,1.3093073414159544
ExtraTreesBUY,0.34,3,2,0.013605442176870748,0.025379045634057906,1.4628095364117735
ExtraTreesBUY,0.34,4,28,0.18791946308724833,0.11224572133101463,0.8722334133835751
ExtraTreesBUY,0.36,1,0,0.0,0.0,0.0
ExtraTreesBUY,0.36,2,1,0.006802721088435374,0.014478224854217459,1.3093073414159544
ExtraTreesBUY,0.36,3,1,0.006802721088435374,0.0028124998920653344,1.3093073414159553
ExtraTreesBUY,0.36,4,21,0.14093959731543623,0.21621933589944953,1.675133400697351
ExtraTreesBUY,0.38,1,0,0.0,0.0,0.0
ExtraTreesBUY,0.38,2,1,0.006802721088435374,0.014478224854217459,1.3093073414159544
ExtraTreesBUY,0.38,3,1,0.006802721088435374,0.0028124998920653344,1.3093073414159553
ExtraTreesBUY,0.38,4,16,0.10738255033557047,0.11295450235899551,1.0958353943607373
RandomForestBUY,0.32,1,6,0.04081632653061224,-0.06550947786556816,-2.5488863155687467
RandomForestBUY,0.32,2,2,0.013605442176870748,-0.0019263186025509915,-0.10173318041694435
RandomForestBUY,0.32,3,4,0.027210884353741496,0.0026461304684348708,0.14018845970361624
RandomForestBUY,0.32,4,24,0.1610738255033557,0.1568922788810203,1.1792482169669194
RandomForestBUY,0.34,1,6,0.04081632653061224,-0.06550947786556816,-2.5488863155687467
RandomForestBUY,0.34,2,2,0.013605442176870748,-0.0019263186025509915,-0.10173318041694435
RandomForestBUY,0.34,3,1,0.006802721088435374,0.02250325533878117,1.309307341415954
RandomForestBUY,0.34,4,18,0.12080536912751678,0.07579595489056179,0.7890355670025128
RandomForestBUY,0.36,1,5,0.034013605442176874,-0.04801743707386397,-2.172063467786559
RandomForestBUY,0.36,2,1,0.006802721088435374,0.014478224854217459,1.3093073414159544
RandomForestBUY,0.36,3,1,0.006802721088435374,0.02250325533878117,1.309307341415954
RandomForestBUY,0.36,4,15,0.10067114093959731,0.032269087998955115,0.40639395341319484
