Parameter,Value
Selection Tier,Development fallback - highest Balanced Accuracy
Fallback Used,True
Classifier,ExtraTreesBUY
Probability Threshold,0.36
OOF BUY Count,23
OOF BUY Rate,0.03898305084745763
Balanced Accuracy,0.5545246568378241
Precision,0.17391304347826086
Recall,0.14285714285714285
F1,0.1568627450980392
ROC-AUC,0.6119725470259278
Average Precision,0.09097025678449397
OOF Total Return,0.23729817412605492
OOF Sharpe Ratio,0.9066539349823398
Classification Pass,False
Economic Pass,True
