Metric,Baseline,Configuration 1 - MA,Configuration 2 - SM,Configuration 3 - RM,Configuration 4 - MA+SM+RM
Initial Capital,100000.0,100000.0,100000.0,100000.0,100000.0
Final Portfolio Value,101536.11622789604,107757.78773380187,108031.42619505257,101989.89494312649,102254.00119312684
Total Return,0.01536116227896045,0.07757787733801869,0.08031426195052571,0.019898949431264912,0.022540011931268422
Annualized Return,0.01280172044745198,0.06433016482165455,0.06658496067367659,0.016577278725563582,0.018773431340129765
Annualized Volatility,0.034288118999423675,0.05695989854550398,0.06441598092966497,0.054911563915744366,0.04208864248783684
Sharpe Ratio,0.38811399158837817,1.1227662374248177,1.0328141028544962,0.32660210283418944,0.4626535471955974
Maximum Drawdown,-0.026006966729175907,-0.020110719153791035,-0.03590953664144747,-0.046356298157375964,-0.02236593215745042
Sortino Ratio,0.08241220427637853,0.4731640153889938,0.3313637479351576,0.13525742482637698,0.13251685420601142
Calmar Ratio,0.49224196657622415,3.198799820618438,1.8542417112902247,0.35760574904590164,0.8393762087790319
Number of Trades,9.0,16.0,17.0,13.0,5.0
Winning Trades,5.0,9.0,12.0,6.0,3.0
Losing Trades,4.0,7.0,5.0,7.0,2.0
Win Rate,0.5555555555555556,0.5625,0.7058823529411765,0.46153846153846156,0.6
Average Trade Return,0.0017720127937102892,0.004790104314027412,0.0046900045595508885,0.0016532778198804711,0.004667208605222861
