date,decision_id,configuration_id,actual_profitable_class,realised_market_return,ma_signal,ma_vote,ma_buy,ma_probability,ma_confidence,sm_recommendation,sm_vote,sm_buy,sm_probability,sm_confidence,rm_recommendation,rm_vote,rm_buy,rm_risk_score,rm_risk_level,rm_confidence,buy_vote_count,required_buy_votes,final_vote,consensus_category,decision_source,supporting_agents,dissenting_agents,trade_executed,entry_price,exit_price,gross_return,transaction_cost_return,slippage_return,net_return,capital_before,capital_after,reflection_category,agent_agreement_score,evidence_completeness_score,traceability_score,confidence_consistency_score,execution_completeness_score,explainability_score
2025-05-16,decision_4f5f6a06ce314adfbccd54ea686a6f10,CONFIG_4_MA_SM_RM_EX_RF,0,-0.007088247673463555,NO_TRADE,NO_TRADE,0,0.512251093871649,0.49625182525886824,NEUTRAL,NO_TRADE,0,0.5045883320366974,0.6021364761963234,REJECT,NO_TRADE,0,0.41141019825106123,MODERATE,0.1990656510651994,0,2,NO_TRADE,UNANIMOUS_NO_TRADE,MAJORITY_CONSENSUS,,MA|SM|RM,False,,,0.0,0.0,0.0,0.0,100000.0,100000.0,NO_TRADE_REVIEW,1.0,1.0,1.0,0.4324846508401303,1.0,0.9148726976260195
2025-05-19,decision_5464fe147fe340cd92d982cdf6abcf0f,CONFIG_4_MA_SM_RM_EX_RF,1,0.02135447885317404,NO_TRADE,NO_TRADE,0,0.6287277232998811,0.5785284296570499,NEUTRAL,NO_TRADE,0,0.5014707870050934,0.6148240045074229,REJECT,NO_TRADE,0,0.4223498904023156,MODERATE,0.14833959480833211,0,2,NO_TRADE,UNANIMOUS_NO_TRADE,MAJORITY_CONSENSUS,,MA|SM|RM,False,,,0.0,0.0,0.0,0.0,100000.0,100000.0,NO_TRADE_REVIEW,1.0,1.0,1.0,0.5527693236757316,1.0,0.9329153985513597
2025-05-20,decision_32ea0d89bdc6481a9bb4bab861b631dc,CONFIG_4_MA_SM_RM_EX_RF,0,-0.0037351416902896,NO_TRADE,NO_TRADE,0,0.704812286110711,0.6371694508708479,NEUTRAL,NO_TRADE,0,0.49279927938239265,0.5457541702698914,REJECT,NO_TRADE,0,0.5743815341247529,MODERATE,0.17780008208751644,0,2,NO_TRADE,UNANIMOUS_NO_TRADE,MAJORITY_CONSENSUS,,MA|SM|RM,False,,,0.0,0.0,0.0,0.0,100000.0,100000.0,NO_TRADE_REVIEW,1.0,1.0,1.0,0.4535745677427519,1.0,0.9180361851614127
2025-05-21,decision_16c755e802424a838fa47251047b8841,CONFIG_4_MA_SM_RM_EX_RF,0,-0.0034291223412477585,NO_TRADE,NO_TRADE,0,0.4269886474116686,0.5485802146112805,NEUTRAL,NO_TRADE,0,0.49263262048930767,0.5564612558353107,REJECT,NO_TRADE,0,0.42249116422167443,MODERATE,0.18580753406918113,0,2,NO_TRADE,UNANIMOUS_NO_TRADE,MAJORITY_CONSENSUS,,MA|SM|RM,False,,,0.0,0.0,0.0,0.0,100000.0,100000.0,NO_TRADE_REVIEW,1.0,1.0,1.0,0.43028300150525745,1.0,0.9145424502257886
2025-05-22,decision_417be6cc4f9140608e287db417b98ae8,CONFIG_4_MA_SM_RM_EX_RF,1,0.007536927994656828,NO_TRADE,NO_TRADE,0,0.6112810361723111,0.5699473576639361,SUPPORT,BUY,1,0.5860052609289417,0.6494465527172033,REJECT,NO_TRADE,0,0.42446800277178076,MODERATE,0.20160847066814302,1,2,NO_TRADE,SINGLE_BUY,MAJORITY_CONSENSUS,SM,MA|RM,False,,,0.0,0.0,0.0,0.0,100000.0,100000.0,NO_TRADE_REVIEW,0.3333333333333333,1.0,1.0,0.5263325396502392,1.0,0.7956165476142025
2025-05-23,decision_aef1b3253fb345c796640db0949451ef,CONFIG_4_MA_SM_RM_EX_RF,1,0.009502723843419714,NO_TRADE,NO_TRADE,0,0.5310506736806072,0.5232551152099427,NEUTRAL,NO_TRADE,0,0.4807375669239681,0.6162773260248453,REJECT,NO_TRADE,0,0.5808054042555508,MODERATE,0.04325902290381036,0,2,NO_TRADE,UNANIMOUS_NO_TRADE,MAJORITY_CONSENSUS,,MA|SM|RM,False,,,0.0,0.0,0.0,0.0,100000.0,100000.0,NO_TRADE_REVIEW,1.0,1.0,1.0,0.6057361786204671,1.0,0.94086042679307
2025-05-27,decision_9faf1ff51c3143ddab4bb2873af32328,CONFIG_4_MA_SM_RM_EX_RF,1,0.013420053815917876,NO_TRADE,NO_TRADE,0,0.6877287645987203,0.630496009108693,SUPPORT,BUY,1,0.5465181260950875,0.542253095466926,REJECT,NO_TRADE,0,0.6367327978057119,MODERATE,0.17044763768669394,1,2,NO_TRADE,SINGLE_BUY,MAJORITY_CONSENSUS,SM,MA|RM,False,,,0.0,0.0,0.0,0.0,100000.0,100000.0,NO_TRADE_REVIEW,0.3333333333333333,1.0,1.0,0.552267752579229,1.0,0.799506829553551
2025-05-28,decision_10e5f7873e31497dba0a3c299bcf8ed1,CONFIG_4_MA_SM_RM_EX_RF,0,-0.006824453073177639,NO_TRADE,NO_TRADE,0,0.4252642854115059,0.5543401293061889,NEUTRAL,NO_TRADE,0,0.524802424270485,0.6117940905780137,REJECT,NO_TRADE,0,0.3890745866147304,MODERATE,0.07879356297365216,0,2,NO_TRADE,UNANIMOUS_NO_TRADE,MAJORITY_CONSENSUS,,MA|SM|RM,False,,,0.0,0.0,0.0,0.0,100000.0,100000.0,NO_TRADE_REVIEW,1.0,1.0,1.0,0.414975927619285,1.0,0.9122463891428927
2025-05-29,decision_ba3aed04b7bd444fbfffa33fedb420d9,CONFIG_4_MA_SM_RM_EX_RF,0,-0.012194592788210057,NO_TRADE,NO_TRADE,0,0.5977423173445218,0.5614771772396059,NEUTRAL,NO_TRADE,0,0.481908528058665,0.6140107825398584,REJECT,NO_TRADE,0,0.3467715415092312,LOW,0.08782867224165196,0,2,NO_TRADE,UNANIMOUS_NO_TRADE,MAJORITY_CONSENSUS,,MA|SM|RM,False,,,0.0,0.0,0.0,0.0,100000.0,100000.0,NO_TRADE_REVIEW,1.0,1.0,1.0,0.42110554400703876,1.0,0.9131658316010558
2025-05-30,decision_40b6f1deae184e3ab484b26eeac7636a,CONFIG_4_MA_SM_RM_EX_RF,0,-0.00017038277317232798,NO_TRADE,NO_TRADE,0,0.6193225710957363,0.5837610967932619,NEUTRAL,NO_TRADE,0,0.48980926304684846,0.5564507178438091,REJECT,NO_TRADE,0,0.5432487004380753,MODERATE,0.07405646688668924,0,2,NO_TRADE,UNANIMOUS_NO_TRADE,MAJORITY_CONSENSUS,,MA|SM|RM,False,,,0.0,0.0,0.0,0.0,100000.0,100000.0,NO_TRADE_REVIEW,1.0,1.0,1.0,0.4047560938412534,1.0,0.910713414076188
