date,decision_id,consensus_category,buy_vote_count,supporting_agents,dissenting_agents,trade_executed,net_return,reflection_category,decision_summary,outcome_summary,identified_strengths,identified_weaknesses,inconsistencies,diagnostic_labels,explainability_score
2025-05-16,decision_4f5f6a06ce314adfbccd54ea686a6f10,UNANIMOUS_NO_TRADE,0,,MA|SM|RM,False,0.0,NO_TRADE_REVIEW,EX did not execute a trade under CONFIG_4_MA_SM_RM_EX_RF. The resolved analytical decision was NO_TRADE using MAJORITY_CONSENSUS. 0 of 3 active analytical agents voted BUY; 2 BUY vote(s) were required. Consensus category was UNANIMOUS_NO_TRADE. Reason: Configuration 4 majority not reached: 0/3 agents voted BUY.,No trade was executed. The counterfactual net Open-to-Close return was -0.708825%.,The NO_TRADE decision avoided a non-profitable market outcome. | All three analytical agents reached the same directional decision. | The resolved NO_TRADE decision avoided a non-profitable Open-to-Close outcome.,,,CONFIG_4_MA_SM_RM_EX_RF | NO_TRADE | FULL_AGENT_AGREEMENT | UNANIMOUS_NO_TRADE | CONSENSUS_UNANIMOUS_NO_TRADE | CORRECT_TRADE_REJECTION,0.9148726976260195
2025-05-19,decision_5464fe147fe340cd92d982cdf6abcf0f,UNANIMOUS_NO_TRADE,0,,MA|SM|RM,False,0.0,NO_TRADE_REVIEW,EX did not execute a trade under CONFIG_4_MA_SM_RM_EX_RF. The resolved analytical decision was NO_TRADE using MAJORITY_CONSENSUS. 0 of 3 active analytical agents voted BUY; 2 BUY vote(s) were required. Consensus category was UNANIMOUS_NO_TRADE. Reason: Configuration 4 majority not reached: 0/3 agents voted BUY.,No trade was executed. The counterfactual net Open-to-Close return was 2.135448%.,All three analytical agents reached the same directional decision.,The NO_TRADE decision missed a profitable market outcome. | The resolved NO_TRADE decision missed a profitable Open-to-Close opportunity.,,CONFIG_4_MA_SM_RM_EX_RF | NO_TRADE | FULL_AGENT_AGREEMENT | UNANIMOUS_NO_TRADE | CONSENSUS_UNANIMOUS_NO_TRADE | MISSED_PROFITABLE_OPPORTUNITY,0.9329153985513597
2025-05-20,decision_32ea0d89bdc6481a9bb4bab861b631dc,UNANIMOUS_NO_TRADE,0,,MA|SM|RM,False,0.0,NO_TRADE_REVIEW,EX did not execute a trade under CONFIG_4_MA_SM_RM_EX_RF. The resolved analytical decision was NO_TRADE using MAJORITY_CONSENSUS. 0 of 3 active analytical agents voted BUY; 2 BUY vote(s) were required. Consensus category was UNANIMOUS_NO_TRADE. Reason: Configuration 4 majority not reached: 0/3 agents voted BUY.,No trade was executed. The counterfactual net Open-to-Close return was -0.373514%.,The NO_TRADE decision avoided a non-profitable market outcome. | All three analytical agents reached the same directional decision. | The resolved NO_TRADE decision avoided a non-profitable Open-to-Close outcome.,,,CONFIG_4_MA_SM_RM_EX_RF | NO_TRADE | FULL_AGENT_AGREEMENT | UNANIMOUS_NO_TRADE | CONSENSUS_UNANIMOUS_NO_TRADE | CORRECT_TRADE_REJECTION,0.9180361851614127
2025-05-21,decision_16c755e802424a838fa47251047b8841,UNANIMOUS_NO_TRADE,0,,MA|SM|RM,False,0.0,NO_TRADE_REVIEW,EX did not execute a trade under CONFIG_4_MA_SM_RM_EX_RF. The resolved analytical decision was NO_TRADE using MAJORITY_CONSENSUS. 0 of 3 active analytical agents voted BUY; 2 BUY vote(s) were required. Consensus category was UNANIMOUS_NO_TRADE. Reason: Configuration 4 majority not reached: 0/3 agents voted BUY.,No trade was executed. The counterfactual net Open-to-Close return was -0.342912%.,The NO_TRADE decision avoided a non-profitable market outcome. | All three analytical agents reached the same directional decision. | The resolved NO_TRADE decision avoided a non-profitable Open-to-Close outcome.,,,CONFIG_4_MA_SM_RM_EX_RF | NO_TRADE | FULL_AGENT_AGREEMENT | UNANIMOUS_NO_TRADE | CONSENSUS_UNANIMOUS_NO_TRADE | CORRECT_TRADE_REJECTION,0.9145424502257886
2025-05-22,decision_417be6cc4f9140608e287db417b98ae8,SINGLE_BUY,1,SM,MA|RM,False,0.0,NO_TRADE_REVIEW,EX did not execute a trade under CONFIG_4_MA_SM_RM_EX_RF. The resolved analytical decision was NO_TRADE using MAJORITY_CONSENSUS. 1 of 3 active analytical agents voted BUY; 2 BUY vote(s) were required. Consensus category was SINGLE_BUY. Reason: Configuration 4 majority not reached: 1/3 agents voted BUY.,No trade was executed. The counterfactual net Open-to-Close return was 0.753693%.,The configured majority-vote rule resolved differing analytical perspectives deterministically.,The NO_TRADE decision missed a profitable market outcome. | The resolved NO_TRADE decision missed a profitable Open-to-Close opportunity.,"MA and SM issued different analytical votes. | SM and RM issued different analytical votes. | Configuration 4 contained analytical disagreement; dissenting agent(s): MA, RM.",CONFIG_4_MA_SM_RM_EX_RF | NO_TRADE | PARTIAL_AGENT_AGREEMENT | MAJORITY_NO_TRADE | CONSENSUS_SINGLE_BUY | MISSED_PROFITABLE_OPPORTUNITY,0.7956165476142025
2025-05-23,decision_aef1b3253fb345c796640db0949451ef,UNANIMOUS_NO_TRADE,0,,MA|SM|RM,False,0.0,NO_TRADE_REVIEW,EX did not execute a trade under CONFIG_4_MA_SM_RM_EX_RF. The resolved analytical decision was NO_TRADE using MAJORITY_CONSENSUS. 0 of 3 active analytical agents voted BUY; 2 BUY vote(s) were required. Consensus category was UNANIMOUS_NO_TRADE. Reason: Configuration 4 majority not reached: 0/3 agents voted BUY.,No trade was executed. The counterfactual net Open-to-Close return was 0.950272%.,All three analytical agents reached the same directional decision.,The NO_TRADE decision missed a profitable market outcome. | The resolved NO_TRADE decision missed a profitable Open-to-Close opportunity.,,CONFIG_4_MA_SM_RM_EX_RF | NO_TRADE | FULL_AGENT_AGREEMENT | UNANIMOUS_NO_TRADE | CONSENSUS_UNANIMOUS_NO_TRADE | LOW_CONFIDENCE | MISSED_PROFITABLE_OPPORTUNITY,0.94086042679307
2025-05-27,decision_9faf1ff51c3143ddab4bb2873af32328,SINGLE_BUY,1,SM,MA|RM,False,0.0,NO_TRADE_REVIEW,EX did not execute a trade under CONFIG_4_MA_SM_RM_EX_RF. The resolved analytical decision was NO_TRADE using MAJORITY_CONSENSUS. 1 of 3 active analytical agents voted BUY; 2 BUY vote(s) were required. Consensus category was SINGLE_BUY. Reason: Configuration 4 majority not reached: 1/3 agents voted BUY.,No trade was executed. The counterfactual net Open-to-Close return was 1.342005%.,The configured majority-vote rule resolved differing analytical perspectives deterministically.,The NO_TRADE decision missed a profitable market outcome. | The resolved NO_TRADE decision missed a profitable Open-to-Close opportunity.,"MA and SM issued different analytical votes. | SM and RM issued different analytical votes. | Configuration 4 contained analytical disagreement; dissenting agent(s): MA, RM.",CONFIG_4_MA_SM_RM_EX_RF | NO_TRADE | PARTIAL_AGENT_AGREEMENT | MAJORITY_NO_TRADE | CONSENSUS_SINGLE_BUY | MISSED_PROFITABLE_OPPORTUNITY,0.799506829553551
2025-05-28,decision_10e5f7873e31497dba0a3c299bcf8ed1,UNANIMOUS_NO_TRADE,0,,MA|SM|RM,False,0.0,NO_TRADE_REVIEW,EX did not execute a trade under CONFIG_4_MA_SM_RM_EX_RF. The resolved analytical decision was NO_TRADE using MAJORITY_CONSENSUS. 0 of 3 active analytical agents voted BUY; 2 BUY vote(s) were required. Consensus category was UNANIMOUS_NO_TRADE. Reason: Configuration 4 majority not reached: 0/3 agents voted BUY.,No trade was executed. The counterfactual net Open-to-Close return was -0.682445%.,The NO_TRADE decision avoided a non-profitable market outcome. | All three analytical agents reached the same directional decision. | The resolved NO_TRADE decision avoided a non-profitable Open-to-Close outcome.,,,CONFIG_4_MA_SM_RM_EX_RF | NO_TRADE | FULL_AGENT_AGREEMENT | UNANIMOUS_NO_TRADE | CONSENSUS_UNANIMOUS_NO_TRADE | CORRECT_TRADE_REJECTION,0.9122463891428927
2025-05-29,decision_ba3aed04b7bd444fbfffa33fedb420d9,UNANIMOUS_NO_TRADE,0,,MA|SM|RM,False,0.0,NO_TRADE_REVIEW,EX did not execute a trade under CONFIG_4_MA_SM_RM_EX_RF. The resolved analytical decision was NO_TRADE using MAJORITY_CONSENSUS. 0 of 3 active analytical agents voted BUY; 2 BUY vote(s) were required. Consensus category was UNANIMOUS_NO_TRADE. Reason: Configuration 4 majority not reached: 0/3 agents voted BUY.,No trade was executed. The counterfactual net Open-to-Close return was -1.219459%.,The NO_TRADE decision avoided a non-profitable market outcome. | All three analytical agents reached the same directional decision. | The resolved NO_TRADE decision avoided a non-profitable Open-to-Close outcome.,,,CONFIG_4_MA_SM_RM_EX_RF | NO_TRADE | FULL_AGENT_AGREEMENT | UNANIMOUS_NO_TRADE | CONSENSUS_UNANIMOUS_NO_TRADE | CORRECT_TRADE_REJECTION,0.9131658316010558
2025-05-30,decision_40b6f1deae184e3ab484b26eeac7636a,UNANIMOUS_NO_TRADE,0,,MA|SM|RM,False,0.0,NO_TRADE_REVIEW,EX did not execute a trade under CONFIG_4_MA_SM_RM_EX_RF. The resolved analytical decision was NO_TRADE using MAJORITY_CONSENSUS. 0 of 3 active analytical agents voted BUY; 2 BUY vote(s) were required. Consensus category was UNANIMOUS_NO_TRADE. Reason: Configuration 4 majority not reached: 0/3 agents voted BUY.,No trade was executed. The counterfactual net Open-to-Close return was -0.017038%.,The NO_TRADE decision avoided a non-profitable market outcome. | All three analytical agents reached the same directional decision. | The resolved NO_TRADE decision avoided a non-profitable Open-to-Close outcome.,,,CONFIG_4_MA_SM_RM_EX_RF | NO_TRADE | FULL_AGENT_AGREEMENT | UNANIMOUS_NO_TRADE | CONSENSUS_UNANIMOUS_NO_TRADE | CORRECT_TRADE_REJECTION,0.910713414076188
