title,url,time_published,authors,summary,banner_image,source,category_within_source,source_domain,topics,overall_sentiment_score,overall_sentiment_label,ticker_sentiment
"EU, trasnacionales y los más ricos de México, detrás del grupo de presión IMCO",https://contralinea.com.mx/interno/semana/eu-trasnacionales-y-los-mas-ricos-de-mexico-detras-del-grupo-de-presion-imco/,20230902T184400,['Nancy Flores'],"The Mexican Institute for Competitiveness (IMCO), presented as a non-partisan think tank, is reportedly a pressure group funded by American corporations, wealthy Mexican businessmen, and the US government through USAID and NED. Since López Obrador's presidency began, IMCO has consistently criticized his administration's policies, aligning with the interests of its corporate and ultracapitalist donors like Atlas Network. Its financial records show that between 2019 and 2022, IMCO managed 180 million pesos for its ""investigations,"" with over 90% of its annual income coming from donations, primarily from the Mexican Business Council and foreign entities.",https://i0.wp.com/contralinea.com.mx/wp-content/uploads/2023/09/ABRE-REPORTAJE-scaled.jpg?fit=768%2C538&ssl=1,Contralínea,General,Contralínea,"[{'topic': 'economy_macro', 'relevance_score': '0.831364'}, {'topic': 'economy_fiscal', 'relevance_score': '0.744147'}]",-0.216554,Somewhat-Bearish,"[{'ticker': 'TV', 'relevance_score': '0.719803', 'ticker_sentiment_score': '-0.295915', 'ticker_sentiment_label': 'Somewhat-Bearish'}, {'ticker': 'KMB', 'relevance_score': '0.677570', 'ticker_sentiment_score': '-0.204834', 'ticker_sentiment_label': 'Somewhat-Bearish'}, {'ticker': 'AMZN', 'relevance_score': '0.557176', 'ticker_sentiment_score': '-0.109999', 'ticker_sentiment_label': 'Neutral'}]"
"From Dallas to Hyderabad, in Pursuit of Drones",https://www.sify.com/technology/from-dallas-to-hyderabad-in-pursuit-of-drones/,20230904T215642,['Sairaj Iyer'],"Joseph Thumma, CEO of Magellanic Cloud (Scandron), relocated from Dallas to Hyderabad to leverage the growing opportunities in India's drone sector. The article details how his company addresses diverse applications, from military logistics in tough terrains like Siachen to agricultural spraying and potential last-mile delivery solutions. Thumma emphasizes the importance of safety, purpose-based ROI, and the challenges of integration with enterprise software, while also discussing the future affordability of drones amid ""Make-in-India"" initiatives and chip scarcity.",https://www.sify.com/wp-content/uploads/2023/09/drone_agriculture_scandron-1024x490.jpg,Sify News,General,Sify News,"[{'topic': 'technology', 'relevance_score': '0.915645'}]",0.069804,Neutral,"[{'ticker': 'SIFY', 'relevance_score': '1.000000', 'ticker_sentiment_score': '0.217539', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'AMZN', 'relevance_score': '0.617924', 'ticker_sentiment_score': '-0.128184', 'ticker_sentiment_label': 'Neutral'}]"
Vodafone teams up with Amazon's Project Kuiper to extend 5G reach,https://www.reuters.com/business/media-telecom/vodafone-teams-up-with-amazons-project-kuiper-extend-5g-reach-2023-09-05/,20230905T070400,['Reuters'],"Vodafone announced a partnership with Amazon's Project Kuiper to expand the reach of its 4G and 5G networks in Europe and Africa. This collaboration will use Kuiper's low Earth orbit satellites to connect mobile base stations in remote areas, aiming to provide high-speed broadband services to underserved communities and businesses. This initiative complements Vodafone's existing work with AST SpaceMobile for space-based mobile networks.",https://www.reuters.com/resizer/v2/CPJR4CH4ZJLK7BOB4BKCM2HDBY.jpg?auth=bc9b39f91879f89f0b08ea43a551489864b26f6280611e3105e5d12177e47a44&width=1920&quality=80,Reuters,General,Reuters,"[{'topic': 'technology', 'relevance_score': '1.000000'}]",0.310658,Somewhat-Bullish,"[{'ticker': 'VOD', 'relevance_score': '0.982949', 'ticker_sentiment_score': '0.331784', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'AMZN', 'relevance_score': '0.868387', 'ticker_sentiment_score': '0.286431', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
Press Release: Rachel Kobetz Joins PayPal as Chief Design Officer,https://newsroom.paypal-corp.com/2023-09-05-Rachel-Kobetz-Joins-PayPal-as-Chief-Design-Officer,20230905T213118,[],"PayPal has announced Rachel Kobetz as its new Senior Vice President and Chief Design Officer (CDO), reporting to John Kim, Executive Vice President and Chief Product Officer. Kobetz brings over 20 years of experience from leadership roles at Expedia Group, Bank of America, Amazon, and Samsung. In her new role, she will be responsible for the design strategy and execution across all PayPal experiences for consumers, merchants, developers, and employees globally.",https://newsroom.paypal-corp.com/image/RachelKobetz_1x1.jpg,PayPal Newsroom,General,PayPal Newsroom,"[{'topic': 'finance', 'relevance_score': '0.939018'}, {'topic': 'technology', 'relevance_score': '0.818083'}]",0.158594,Somewhat-Bullish,"[{'ticker': 'EXPE', 'relevance_score': '0.709203', 'ticker_sentiment_score': '0.106242', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'PYPL', 'relevance_score': '0.998598', 'ticker_sentiment_score': '0.429568', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'AMZN', 'relevance_score': '0.641891', 'ticker_sentiment_score': '0.098334', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'BAC', 'relevance_score': '0.589305', 'ticker_sentiment_score': '0.053422', 'ticker_sentiment_label': 'Neutral'}]"
Better Buy: Opendoor Technologies vs. Amazon,https://www.fool.com/investing/2023/09/06/better-buy-opendoor-technologies-vs-amazon/,20230906T072200,['Leo Sun'],"This article evaluates Opendoor Technologies and Amazon as investment options, contrasting their performance since Opendoor's 2020 IPO. Opendoor, once dubbed the ""Amazon of real estate,"" has seen its stock plummet due to a cooling housing market and rising interest rates, missing its financial targets and facing existential challenges. In contrast, Amazon, despite a growth slowdown in 2022, has shown signs of stabilization in its e-commerce and cloud segments and is considered a more resilient investment navigating cyclical headwinds.",https://g.foolcdn.com/image/?url=https%3A%2F%2Fg.foolcdn.com%2Feditorial%2Fimages%2F746421%2Fwoman-trading-screen-2.jpg&w=3840&op=resize,The Motley Fool,General,The Motley Fool,"[{'topic': 'financial_markets', 'relevance_score': '0.901592'}, {'topic': 'real_estate', 'relevance_score': '0.815182'}, {'topic': 'technology', 'relevance_score': '0.722649'}, {'topic': 'earnings', 'relevance_score': '0.712100'}, {'topic': 'economy_macro', 'relevance_score': '0.644302'}]",-0.106251,Neutral,"[{'ticker': 'OPEN', 'relevance_score': '1.000000', 'ticker_sentiment_score': '-0.607521', 'ticker_sentiment_label': 'Bearish'}, {'ticker': 'AMZN', 'relevance_score': '0.944577', 'ticker_sentiment_score': '0.438158', 'ticker_sentiment_label': 'Bullish'}]"
"Bandwidth Partners with Google and Cognigy to Launch AIBridge, Integrating Artificial Intelligence with Contact Centers Using Maestro",https://www.prnewswire.com/news-releases/bandwidth-partners-with-google-and-cognigy-to-launch-aibridge-integrating-artificial-intelligence-with-contact-centers-using-maestro-301918530.html,20230906T081200,[],"Bandwidth has announced a partnership with Google and Cognigy to launch AIBridge, a new capability within its Maestro platform. AIBridge enables enterprises to deploy voice-based AI tools to their contact centers, allowing for faster and more efficient call resolution in the communications cloud without direct agent intervention. This integration is designed to improve customer experience, increase agent satisfaction, and significantly reduce contact center operating costs by leveraging conversational AI from partners like Cognigy.AI and Google Cloud's Dialogflow.",,PR Newswire,General,PR Newswire,"[{'topic': 'technology', 'relevance_score': '0.937855'}]",0.373141,Bullish,"[{'ticker': 'BAND', 'relevance_score': '1.000000', 'ticker_sentiment_score': '0.835238', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'GOOG', 'relevance_score': '0.711727', 'ticker_sentiment_score': '0.326578', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'GOOGL', 'relevance_score': '0.719903', 'ticker_sentiment_score': '0.329807', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'MSFT', 'relevance_score': '0.602065', 'ticker_sentiment_score': '0.214238', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'AMZN', 'relevance_score': '0.645165', 'ticker_sentiment_score': '0.220520', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
Instacart Brings Best-In-Class Advertising to Merchants With New Shopify App,https://investors.instacart.com/news-releases/news-release-details/instacart-brings-best-class-advertising-merchants-new-shopify/,20230906T215639,[],"Instacart has launched a new Shopify app that allows emerging CPG brands using Shopify to access Instacart Ads. This integration enables Shopify merchants to view their Instacart sales data directly within Shopify, manage advertising campaigns, and leverage tools like sponsored product ads to increase product visibility and sales on the Instacart Marketplace. The app aims to help brands understand their impact and grow their reach by connecting with consumers at the point of purchase.",https://investors.instacart.com/system/files-encrypted/nasdaq_kms/inline-images/icshopify_laptopcenter-1050x591.jpg,Instacart,General,Instacart,"[{'topic': 'retail_wholesale', 'relevance_score': '1.000000'}, {'topic': 'technology', 'relevance_score': '0.834952'}, {'topic': 'finance', 'relevance_score': '0.637412'}]",0.398623,Bullish,"[{'ticker': 'SHOP', 'relevance_score': '1.000000', 'ticker_sentiment_score': '0.415237', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'AMZN', 'relevance_score': '0.609119', 'ticker_sentiment_score': '0.321132', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
Cineverse Horror Channel SCREAMBOX TV Launches on Amazon Freevee,https://www.cbs42.com/business/press-releases/cision/20230907LA02761/cineverse-horror-channel-screambox-tv-launches-on-amazon-freevee,20230907T100000,[],"Cineverse Corp. has launched its horror channel, SCREAMBOX TV, on Amazon Freevee, expanding its reach to a wider audience. SCREAMBOX has become a premier and rapidly growing streaming brand in the horror genre, adding over 550 new films and TV series since its acquisition. This move aims to make top-quality horror entertainment more accessible and attractive to advertisers.",,CBS 42,General,CBS 42,"[{'topic': 'technology', 'relevance_score': '0.831520'}]",0.366484,Bullish,"[{'ticker': 'CNVS', 'relevance_score': '1.000000', 'ticker_sentiment_score': '0.426652', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'AMZN', 'relevance_score': '0.719768', 'ticker_sentiment_score': '0.315414', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
American Eagle’s Urban Focus Boosts Intimates Appeal,https://www.pymnts.com/news/retail/2023/american-eagles-urban-focus-boosts-intimates-appeal/,20230907T211605,['PYMNTS'],"American Eagle Outfitters (AEO) is seeing significant growth in its intimates line, Aerie, which it attributes to an urban-focused marketing strategy and innovative products like SMOOTHEZ styles. Aerie's ""Hidden Gems"" campaign, including partnerships and events in cities like New York, aims to increase brand awareness and engagement in the competitive intimates market. Despite strong Q2 2023 revenues of $1.2 billion for AEO, with Aerie contributing $380 million, the brand acknowledges the need to further capture market share, especially amidst competitors like Victoria's Secret.",https://www.pymnts.com/wp-content/uploads/2023/09/American-Eagle-Aerie.jpg?w=768,PYMNTS.com,General,PYMNTS.com,"[{'topic': 'retail_wholesale', 'relevance_score': '0.938998'}, {'topic': 'earnings', 'relevance_score': '0.845703'}]",0.267177,Somewhat-Bullish,"[{'ticker': 'AEO', 'relevance_score': '1.000000', 'ticker_sentiment_score': '0.445773', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'AMZN', 'relevance_score': '0.601194', 'ticker_sentiment_score': '0.132397', 'ticker_sentiment_label': 'Neutral'}]"
Shark® Detect Pro™ Technology Outsmarts Dirty Carpets and Floors,https://www.businesswire.com/news/home/20230907243002/en/Shark-Detect-Pro-Technology-Outsmarts-Dirty-Carpets-and-Floors,20230907T215728,[],"SharkNinja (NYSE: SN) has introduced its new Detect Pro technology, featured in a new line of intelligent cordless and robot vacuums. This technology includes DirtDetect, EdgeDetect, FloorDetect, and LightDetect to automatically adjust suction, clean edges, optimize for floor type, and illuminate hidden dirt, making cleaning easier and smarter for consumers. The Shark® Cordless Detect Pro™ Auto Empty System is now available, with more products, including a robot vacuum, to follow.",https://mms.businesswire.com/media/20230907243002/en/1884264/4/R_IW1111_Hero_Angled_QuadClean_LivingRoom.jpg?download=1,Business Wire,General,Business Wire,"[{'topic': 'retail_wholesale', 'relevance_score': '0.807617'}, {'topic': 'technology', 'relevance_score': '0.932567'}]",0.261914,Somewhat-Bullish,"[{'ticker': 'SN', 'relevance_score': '1.000000', 'ticker_sentiment_score': '0.406167', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'AMZN', 'relevance_score': '0.613739', 'ticker_sentiment_score': '0.243948', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'BBY', 'relevance_score': '0.617262', 'ticker_sentiment_score': '0.218025', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'LOW', 'relevance_score': '0.619205', 'ticker_sentiment_score': '0.242313', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'TGT', 'relevance_score': '0.601083', 'ticker_sentiment_score': '0.230253', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
