title,url,time_published,authors,summary,banner_image,source,category_within_source,source_domain,topics,overall_sentiment_score,overall_sentiment_label,ticker_sentiment
Will AI Spark a Boom in Data Centre Real Estate?,https://www.cmcmarkets.com/en-au/opto/will-ai-spark-a-boom-in-data-centre-real-estate,20231101T033000,['OPTO'],"The article discusses how the rise of AI and other disruptive technologies is driving an increase in demand for data centers, potentially tripling global capacity in six years. It highlights data center real estate stocks, such as Digital Realty Trust and Global X's Data Centre REITs & Digital Infrastructure ETF, as a focused investment opportunity, noting their inflation-resistant nature and tax benefits. The article also touches on the geographical shift in data center placement, with growth in less expensive locations like the US Midwest.",,CMC Markets,General,CMC Markets,"[{'topic': 'technology', 'relevance_score': '0.931852'}, {'topic': 'real_estate', 'relevance_score': '0.813353'}, {'topic': 'financial_markets', 'relevance_score': '0.743636'}, {'topic': 'economy_monetary', 'relevance_score': '0.606036'}]",0.294331,Somewhat-Bullish,"[{'ticker': 'IDGT', 'relevance_score': '0.304495', 'ticker_sentiment_score': '0.011206', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AMZN', 'relevance_score': '0.911793', 'ticker_sentiment_score': '0.322921', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'DLR', 'relevance_score': '0.801559', 'ticker_sentiment_score': '0.405876', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'NVDA', 'relevance_score': '0.738843', 'ticker_sentiment_score': '0.411041', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'MSFT', 'relevance_score': '0.610919', 'ticker_sentiment_score': '0.303941', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
Hartford Funds Seeks to Let $4.1B Fund Make More Concentrated Investments,https://www.plansponsor.com/hartford-funds-seeks-to-let-4-1b-fund-make-more-concentrated-investments/,20231101T144954,['Noah Zuss'],"Hartford Funds is proposing to reclassify its $4.1 billion Growth Opportunities Fund as a non-diversified investment, which would allow it to make more concentrated investments. This change, if approved by shareholders, would increase the fund's risk profile and volatility, prompting plan sponsors and fiduciaries to re-evaluate their inclusion of the fund in retirement lineups. The reclassification comes as allocations to a few mega-cap tech stocks have pushed some diversified funds to exceed investment thresholds.",,plansponsor,General,plansponsor,"[{'topic': 'finance', 'relevance_score': '0.925837'}, {'topic': 'financial_markets', 'relevance_score': '0.816065'}]",0.19545,Somewhat-Bullish,"[{'ticker': 'HFGO', 'relevance_score': '0.341883', 'ticker_sentiment_score': '0.046852', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'GOOG', 'relevance_score': '0.737682', 'ticker_sentiment_score': '0.244833', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'AMZN', 'relevance_score': '0.702141', 'ticker_sentiment_score': '0.212379', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'NVDA', 'relevance_score': '0.745921', 'ticker_sentiment_score': '0.206148', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'META', 'relevance_score': '0.717691', 'ticker_sentiment_score': '0.226347', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
Wholesale Shines for Kontoor’s Wrangler and Lee Brands,https://www.yahoo.com/lifestyle/wholesale-shines-kontoor-wrangler-lee-194943841.html,20231102T194900,['Evan Clark'],"Kontoor Brands, the parent company of Wrangler and Lee, reported strong third-quarter results driven by its wholesale businesses despite a cautious retail environment. The company saw increased net profits and revenues, although it adjusted its full-year outlook. CEO Scott Baxter highlighted the success of their affordable pricing, trusted brands, and effective marketing strategies, which have led to significant market share gains.",https://s.yimg.com/ny/api/res/1.2/uI6sOu53GC23e_BHZSElVw--/YXBwaWQ9aGlnaGhsYW5kZXJ0O3c9MTI0MjtoPTgyODtjZj13ZWJw/https://media.zenfs.com/en/wwd_409/a6be6c44422a2b6770d869f8f3fd8d22,Yahoo,General,Yahoo,"[{'topic': 'earnings', 'relevance_score': '0.931668'}, {'topic': 'retail_wholesale', 'relevance_score': '0.816342'}, {'topic': 'financial_markets', 'relevance_score': '0.631184'}, {'topic': 'economy_macro', 'relevance_score': '0.642479'}]",0.421901,Bullish,"[{'ticker': 'KTB', 'relevance_score': '1.000000', 'ticker_sentiment_score': '0.616225', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'WMT', 'relevance_score': '0.703248', 'ticker_sentiment_score': '0.321428', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'TGT', 'relevance_score': '0.634601', 'ticker_sentiment_score': '0.312138', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'AMZN', 'relevance_score': '0.625032', 'ticker_sentiment_score': '0.307325', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
Bilibili Announces Most Popular Scientific Topics of 2023 among China's Young Generations,https://aijourn.com/bilibili-announces-most-popular-scientific-topics-of-2023-among-chinas-young-generations/,20231103T000000,['Cision PR Newswire'],"Bilibili announced the ""2023 Top 5 Most Popular Scientific Topics on Bilibili"" among young Chinese generations, including AIGC, room-temperature superconductors, brain-computer interfaces, black holes, and controllable nuclear fusion. The platform hosted a ""Super Science Night"" event featuring renowned scientists and Bilibili creators to engage young audiences with science. Science and knowledge-related content is the second most searched category on Bilibili, accounting for 41% of total viewing time, with over 243 million users viewing such content in the past year.",,The AI Journal,General,The AI Journal,"[{'topic': 'technology', 'relevance_score': '0.941663'}, {'topic': 'life_sciences', 'relevance_score': '0.636834'}]",0.289297,Somewhat-Bullish,"[{'ticker': 'BILI', 'relevance_score': '1.000000', 'ticker_sentiment_score': '0.482295', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'MSFT', 'relevance_score': '0.639502', 'ticker_sentiment_score': '0.223109', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'AMZN', 'relevance_score': '0.578795', 'ticker_sentiment_score': '0.220273', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'GOOGL', 'relevance_score': '0.599747', 'ticker_sentiment_score': '0.210306', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
Understanding the Role of Chatbots in Virtual Care Delivery,https://www.techtarget.com/virtualhealthcare/feature/Understanding-the-Role-of-Chatbots-in-Virtual-Care-Delivery,20231103T202009,['Anuja Vaidya'],"Chatbots are increasingly vital in virtual healthcare delivery, offering applications from administrative tasks like scheduling appointments to clinical uses such as patient triage and mental health support. While they provide significant benefits in efficiency and patient satisfaction, concerns persist regarding their ability to handle complex diagnostic scenarios, data privacy, and HIPAA compliance, requiring ongoing efforts to build trust among both physicians and patients. The article details chatbot categories, their diverse use cases in virtual care, and weighs their benefits against current limitations.",https://www.techtarget.com/rms/onlineimages/mobile_g1022892890_searchsitetablet_520X173.jpg,TechTarget,General,TechTarget,"[{'topic': 'life_sciences', 'relevance_score': '0.915323'}, {'topic': 'technology', 'relevance_score': '0.818130'}]",0.109672,Neutral,"[{'ticker': 'TTGT', 'relevance_score': '0.327893', 'ticker_sentiment_score': '0.040514', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'GEHC', 'relevance_score': '0.720993', 'ticker_sentiment_score': '0.249448', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'MSFT', 'relevance_score': '0.641801', 'ticker_sentiment_score': '0.118396', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AAPL', 'relevance_score': '0.643521', 'ticker_sentiment_score': '0.120540', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AMZN', 'relevance_score': '0.626706', 'ticker_sentiment_score': '0.106868', 'ticker_sentiment_label': 'Neutral'}]"
Investing for impact,https://etfexpress.com/2023/11/03/investing-for-impact/,20231103T233940,['Fiona Nicolson'],"Patrick Neal, founder of the Reverb ETF (RVRB), has launched an innovative investment strategy that incorporates public ratings of large corporations. The Reverb ETF invests in companies based on anonymous feedback and ratings submitted by users through the Reverberate app, giving a voice to consumers and focusing on the social aspect of ESG. The fund, which launched in 2022 and has approximately USD3.3 million in assets, aims to provide users with economic power through their feedback, with portfolio weightings adjusted according to positive or negative corporate perceptions.",https://etfexpress.com/wp-content/uploads/2023/11/Reverb-ETF-Patrick-Neal-sized.jpg,ETF Express,General,ETF Express,"[{'topic': 'finance', 'relevance_score': '0.819478'}, {'topic': 'financial_markets', 'relevance_score': '0.746639'}]",0.363897,Bullish,"[{'ticker': 'RVRB', 'relevance_score': '1.000000', 'ticker_sentiment_score': '0.425152', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'AMZN', 'relevance_score': '0.615119', 'ticker_sentiment_score': '0.338313', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'WMT', 'relevance_score': '0.639260', 'ticker_sentiment_score': '0.300407', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'GOOGL', 'relevance_score': '0.613361', 'ticker_sentiment_score': '0.338825', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'AAPL', 'relevance_score': '0.600297', 'ticker_sentiment_score': '0.349712', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
Starbucks raising wages at least 3% starting Jan. 1,https://www.foxbusiness.com/economy/starbucks-raising-wages-at-least-3-starting-jan-1,20231106T102400,['Greg Norman'],"Starbucks announced it will raise wages for its U.S. retail hourly partners by at least 3% starting January 1, 2024, with more tenured employees receiving higher increases up to 5%. This move is part of an expanded benefits package and comes without anticipated menu price increases. The company stated these investments aim to improve the partner experience, reduce turnover, and enhance customer connection scores.",https://a57.foxnews.com/static.foxbusiness.com/foxbusiness.com/content/uploads/2023/11/931/523/Starbucks-worker-1.jpg?ve=1&tl=1,Fox Business,General,Fox Business,"[{'topic': 'retail_wholesale', 'relevance_score': '0.839177'}, {'topic': 'finance', 'relevance_score': '0.729504'}, {'topic': 'economy_macro', 'relevance_score': '0.632926'}]",0.366059,Bullish,"[{'ticker': 'SBUX', 'relevance_score': '1.000000', 'ticker_sentiment_score': '0.385974', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'AAPL', 'relevance_score': '0.634143', 'ticker_sentiment_score': '0.329268', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'MSFT', 'relevance_score': '0.601959', 'ticker_sentiment_score': '0.343541', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'AMZN', 'relevance_score': '0.627296', 'ticker_sentiment_score': '0.328607', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
The Magnificent 7 In Other Countries (Emerging Markets X-China),https://www.advisorhub.com/resources/the-magnificent-7-in-other-countries-emerging-markets-x-china/,20231106T143127,['Michael Cronan'],"This article identifies seven emerging market companies (outside of China) that could become the ""next Magnificent 7"" in technology, similar to the dominant tech giants in developed markets. It highlights companies from Latin America, India, and Southeast Asia, spanning fintech, e-commerce, and digital services, and details their unique strategies, market positions, and growth potential. The author emphasizes a long-term perspective on these companies' appreciation and their role in the global technology landscape.",,AdvisorHub,General,AdvisorHub,"[{'topic': 'technology', 'relevance_score': '1.000000'}, {'topic': 'financial_markets', 'relevance_score': '0.905031'}, {'topic': 'finance', 'relevance_score': '0.847765'}, {'topic': 'economy_macro', 'relevance_score': '0.718083'}, {'topic': 'retail_wholesale', 'relevance_score': '0.642191'}]",0.315012,Somewhat-Bullish,"[{'ticker': 'EMQQ', 'relevance_score': '1.000000', 'ticker_sentiment_score': '0.541525', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'WMT', 'relevance_score': '0.716783', 'ticker_sentiment_score': '0.343341', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'META', 'relevance_score': '0.627956', 'ticker_sentiment_score': '0.200087', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'AMZN', 'relevance_score': '0.626335', 'ticker_sentiment_score': '0.215769', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
"Upwork Introduces AI Apps, Offers, and Educational Content",https://aithority.com/natural-language/chatgpt/upwork-introduces-ai-apps-offers-and-educational-content/,20231106T202101,['AIT News Desk'],"Upwork has launched new AI apps, offers, and educational content to empower independent talent on its platform with generative AI tools. These initiatives include partnerships with industry leaders like Adobe and Amazon, access to training resources, and the introduction of Upwork Chat Pro, a GPT-4-powered app. The goal is to enhance productivity, automate tasks, and improve work quality for freelancers, addressing the growing demand for AI-related projects.",https://aithority.com/wp-content/uploads/2023/09/AIT_1-1.png,AiThority,General,AiThority,"[{'topic': 'technology', 'relevance_score': '0.932944'}]",0.274948,Somewhat-Bullish,"[{'ticker': 'UPWK', 'relevance_score': '1.000000', 'ticker_sentiment_score': '0.484818', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'ADBE', 'relevance_score': '0.743763', 'ticker_sentiment_score': '0.288401', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'AMZN', 'relevance_score': '0.633718', 'ticker_sentiment_score': '0.240366', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'CSCO', 'relevance_score': '0.596358', 'ticker_sentiment_score': '0.159018', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
2 companies join WanaBana in recalling apple cinnamon puree for kids,https://www.cbsnews.com/news/2-companies-join-wanabana-in-recalling-apple-cinnamon-puree-for-kids/,20231106T202328,['AP'],"Federal health officials are expanding an investigation into lead-tainted apple cinnamon fruit puree marketed for children, with two additional companies, Schnucks Markets and Weis Markets, joining WanaBana in recalling their products. The FDA has received reports of seven illnesses across at least five states linked to the contaminated puree. Parents are advised not to use these products and to have children tested for lead exposure due to the potential for acute toxicity and long-term health risks.",https://assets2.cbsnewsstatic.com/hub/i/r/2026/02/19/5261eeb1-dc70-44c2-b3eb-f9e6b508cc48/thumbnail/1200x630/e6daa9643af311edbe599030b22b0de6/wawa-milk-recall-nj-pa-de-md.jpg#,CBS News,General,CBS News,"[{'topic': 'retail_wholesale', 'relevance_score': '0.801753'}, {'topic': 'life_sciences', 'relevance_score': '0.720432'}]",-0.208274,Somewhat-Bearish,"[{'ticker': 'WMK', 'relevance_score': '1.000000', 'ticker_sentiment_score': '-0.236654', 'ticker_sentiment_label': 'Somewhat-Bearish'}, {'ticker': 'DLTR', 'relevance_score': '0.633618', 'ticker_sentiment_score': '-0.240973', 'ticker_sentiment_label': 'Somewhat-Bearish'}, {'ticker': 'AMZN', 'relevance_score': '0.620518', 'ticker_sentiment_score': '-0.236539', 'ticker_sentiment_label': 'Somewhat-Bearish'}]"
